relation_id,claim,evidence_block,knowledge_status,consensus_status,necessity_rationale,block_rationale,scope,exceptions,source_ids
assumption_conditional_direction__context_of_use,assumption_conditional_direction,context_of_use,source_grounded_author_requirement,not_independently_validated,The result must remain conditional on the evaluated population model class and prohibited causal interpretations.,"Use, population, output, consequence, and prohibited uses bound every authorization.",One declared decision context.,Authorization cannot be transported by wording to another context.,asme2018vv40|riedmaier2021vvuq
local_observational_structure_function_association__structure_function_association,local_observational_structure_function_association,structure_function_association,source_grounded_author_requirement,not_independently_validated,The claim requires a bounded structure-function estimand with declared connected and matched comparison populations.,Local observational structure-function evidence requires matched controls and a bounded estimand.,"Declared tissue, descriptor, matching variables, and connected-pair population.","Association does not establish causality, mechanism, or whole-brain scope.",bae2025microns|ding2025wiring
local_observational_structure_function_association__network_dependence_control,local_observational_structure_function_association,network_dependence_control,source_grounded_author_requirement,not_independently_validated,Pairwise observations share neurons and therefore require dependence-aware inference rather than naive pair independence.,Relational observations sharing nodes require an explicit dependence-aware inferential method.,The declared directed-pair frame and estimand.,Naive pair-level independence and descriptive stability are insufficient substitutes.,bae2025microns|ding2025wiring
local_observational_structure_function_association__uncertainty_quantification,local_observational_structure_function_association,uncertainty_quantification,source_grounded_author_requirement,not_independently_validated,Association magnitude requires uncertainty evaluated at a unit compatible with the network dependence structure.,Uncertainty must be estimated at the inferential unit with a declared acceptance rule.,The uncertainty sources material to the bounded claim.,"One interval cannot cover omitted model, data, and transport uncertainties.",oberkampf2010verification|riedmaier2021vvuq|asme2018vv40
local_observational_structure_function_association__robustness,local_observational_structure_function_association,robustness,source_grounded_author_requirement,not_independently_validated,The local association must survive the locked matching and perturbation family used to address confounding.,The locked endpoint must survive a prespecified perturbation family and worst-case rule.,"Declared data, model, and analytical perturbations.",Robustness to tested perturbations does not establish universal stability.,oberkampf2010verification|riedmaier2021vvuq
local_observational_structure_function_association__context_of_use,local_observational_structure_function_association,context_of_use,source_grounded_author_requirement,not_independently_validated,The authorization must remain local observational and descriptor-specific without causal or whole-brain promotion.,"Use, population, output, consequence, and prohibited uses bound every authorization.",One declared decision context.,Authorization cannot be transported by wording to another context.,asme2018vv40|riedmaier2021vvuq
local_observational_structure_function_association__data_quality,local_observational_structure_function_association,data_quality,source_grounded_author_requirement,not_independently_validated,Unit eligibility synapse lineage exclusions and missing descriptors determine the valid pair frame.,"Data lineage, exclusions, missingness, and source-specific quality checks must be inspectable.",Every source used by the bounded claim.,Public availability alone does not establish fitness for use.,wilkinson2016fair|gebru2021datasheets|barker2022fair4rs
intervention_supported_effect__causal_intervention,intervention_supported_effect,causal_intervention,source_grounded_author_requirement,not_independently_validated,A bounded causal-effect claim requires an intervention or explicit identification design tied to one estimand.,"The design, estimand, intervention, outcome, and identification assumptions must be explicit.",One bounded interventional or assumption-conditional effect.,The profile does not promote observational association into causal evidence.,mooij2016cause|asme2018vv40
intervention_supported_effect__uncertainty_quantification,intervention_supported_effect,uncertainty_quantification,source_grounded_author_requirement,not_independently_validated,The intervention-supported effect requires an interval or equivalent uncertainty rule for its estimand.,Uncertainty must be estimated at the inferential unit with a declared acceptance rule.,The uncertainty sources material to the bounded claim.,"One interval cannot cover omitted model, data, and transport uncertainties.",oberkampf2010verification|riedmaier2021vvuq|asme2018vv40
intervention_supported_effect__robustness,intervention_supported_effect,robustness,source_grounded_author_requirement,not_independently_validated,Identification and effect conclusions must survive the prespecified sensitivity analysis.,The locked endpoint must survive a prespecified perturbation family and worst-case rule.,"Declared data, model, and analytical perturbations.",Robustness to tested perturbations does not establish universal stability.,oberkampf2010verification|riedmaier2021vvuq
intervention_supported_effect__context_of_use,intervention_supported_effect,context_of_use,source_grounded_author_requirement,not_independently_validated,The effect is authorized only for its intervention population outcome and decision context.,"Use, population, output, consequence, and prohibited uses bound every authorization.",One declared decision context.,Authorization cannot be transported by wording to another context.,asme2018vv40|riedmaier2021vvuq
intervention_supported_effect__data_quality,intervention_supported_effect,data_quality,source_grounded_author_requirement,not_independently_validated,Intervention evidence remains conditional on auditable treatment outcome lineage exclusions and missingness.,"Data lineage, exclusions, missingness, and source-specific quality checks must be inspectable.",Every source used by the bounded claim.,Public availability alone does not establish fitness for use.,wilkinson2016fair|gebru2021datasheets|barker2022fair4rs
directed_topology_consistent_prediction__prediction,directed_topology_consistent_prediction,prediction,source_grounded_author_requirement,not_independently_validated,The bounded compound claim retains held-out predictive adequacy as its empirical outcome component.,"Held-out prediction must identify its target, population, split, metric, threshold, and comparator.",One declared predictive context of use.,Prediction neither identifies mechanism nor transports beyond its evaluated population.,sargent2013verification|riedmaier2021vvuq
directed_topology_consistent_prediction__internal_reproduction,directed_topology_consistent_prediction,internal_reproduction,source_grounded_author_requirement,not_independently_validated,The combined pattern must recur on non-overlapping units within the resource before stronger wording is considered.,Non-overlapping within-resource units and their overlap must be explicit.,One resource with a preserved sampling unit.,Partitions from one resource are not independent-study replication.,nasem2019reproducibility|pineau2021reproducibility
directed_topology_consistent_prediction__topology_specificity,directed_topology_consistent_prediction,topology_specificity,source_grounded_author_requirement,not_independently_validated,Topological structure must outperform prespecified matched alternatives rather than accompany prediction incidentally.,A topology claim requires prespecified and complexity-matched controls at a declared scale.,The tested topology and control family.,Passing declared controls does not eliminate every alternative topology.,knox2019connectome|billeh2020v1
directed_topology_consistent_prediction__directed_identifiability,directed_topology_consistent_prediction,directed_identifiability,source_grounded_author_requirement,not_independently_validated,Directional consistency requires an assumption-bounded identification test and abstention rule.,"Direction is conditional on a model class, assumptions, calibration domain, and abstention rule.",One declared directional-identification problem.,Temporal order and association alone do not identify biological direction.,mooij2016cause
directed_topology_consistent_prediction__uncertainty_quantification,directed_topology_consistent_prediction,uncertainty_quantification,source_grounded_author_requirement,not_independently_validated,Prediction topology and direction jointly require uncertainty at their relevant inferential units.,Uncertainty must be estimated at the inferential unit with a declared acceptance rule.,The uncertainty sources material to the bounded claim.,"One interval cannot cover omitted model, data, and transport uncertainties.",oberkampf2010verification|riedmaier2021vvuq|asme2018vv40
directed_topology_consistent_prediction__distribution_shift,directed_topology_consistent_prediction,distribution_shift,source_grounded_author_requirement,not_independently_validated,A compound directed-topology result must state whether it transports beyond its construction population.,Source and target populations and the tested shift family must be explicit.,One declared transport path or deployment context.,Passing one shift family is not universal out-of-distribution validity.,riedmaier2021vvuq|geifman2019selectivenet
directed_topology_consistent_prediction__competing_mechanisms,directed_topology_consistent_prediction,competing_mechanisms,source_grounded_author_requirement,not_independently_validated,Explicit unresolved alternatives prevent directional topology evidence from being promoted to mechanism.,Declared alternatives and unresolved explanations prevent topology or direction from becoming mechanism by wording.,"A prespecified, explicitly non-exhaustive alternative set.",No finite control set excludes all observationally equivalent mechanisms.,mooij2016cause|oberkampf2010verification
directed_topology_consistent_prediction__robustness,directed_topology_consistent_prediction,robustness,source_grounded_author_requirement,not_independently_validated,The compound result must persist across a locked perturbation family covering its analytical choices.,The locked endpoint must survive a prespecified perturbation family and worst-case rule.,"Declared data, model, and analytical perturbations.",Robustness to tested perturbations does not establish universal stability.,oberkampf2010verification|riedmaier2021vvuq
directed_topology_consistent_prediction__context_of_use,directed_topology_consistent_prediction,context_of_use,source_grounded_author_requirement,not_independently_validated,The claim must prohibit mechanistic and causal transport beyond the declared setting.,"Use, population, output, consequence, and prohibited uses bound every authorization.",One declared decision context.,Authorization cannot be transported by wording to another context.,asme2018vv40|riedmaier2021vvuq
directed_topology_consistent_prediction__data_quality,directed_topology_consistent_prediction,data_quality,source_grounded_author_requirement,not_independently_validated,The compound result depends on inspectable fitness and lineage for every source contributing prediction topology or direction.,"Data lineage, exclusions, missingness, and source-specific quality checks must be inspectable.",Every source used by the bounded claim.,Public availability alone does not establish fitness for use.,wilkinson2016fair|gebru2021datasheets|barker2022fair4rs
complete_entity_specific_mouse_brain_digital_twin__prediction,complete_entity_specific_mouse_brain_digital_twin,prediction,source_grounded_author_requirement,not_independently_validated,A complete twin must predict declared entity-relevant outputs under held-out evaluation.,"Held-out prediction must identify its target, population, split, metric, threshold, and comparator.",One declared predictive context of use.,Prediction neither identifies mechanism nor transports beyond its evaluated population.,sargent2013verification|riedmaier2021vvuq
complete_entity_specific_mouse_brain_digital_twin__internal_reproduction,complete_entity_specific_mouse_brain_digital_twin,internal_reproduction,source_grounded_author_requirement,not_independently_validated,Twin behavior must be stable on non-overlapping observations within the represented entity or resource.,Non-overlapping within-resource units and their overlap must be explicit.,One resource with a preserved sampling unit.,Partitions from one resource are not independent-study replication.,nasem2019reproducibility|pineau2021reproducibility
complete_entity_specific_mouse_brain_digital_twin__external_replication,complete_entity_specific_mouse_brain_digital_twin,external_replication,source_grounded_author_requirement,not_independently_validated,Complete-twin wording requires the bounded endpoint to survive an independent data-generation process.,"Replication requires a genuinely new data-generation process, not a repackaged resource.",Same bounded endpoint in a new study or independently generated dataset.,"New files, windows, or repositories may still share the same underlying observations.",nasem2019reproducibility
complete_entity_specific_mouse_brain_digital_twin__topology_specificity,complete_entity_specific_mouse_brain_digital_twin,topology_specificity,source_grounded_author_requirement,not_independently_validated,The represented topology must contribute beyond complexity-matched alternatives at its declared scales.,A topology claim requires prespecified and complexity-matched controls at a declared scale.,The tested topology and control family.,Passing declared controls does not eliminate every alternative topology.,knox2019connectome|billeh2020v1
complete_entity_specific_mouse_brain_digital_twin__directed_identifiability,complete_entity_specific_mouse_brain_digital_twin,directed_identifiability,source_grounded_author_requirement,not_independently_validated,Directed interactions in a causal complete-twin claim require assumption-conditional identification.,"Direction is conditional on a model class, assumptions, calibration domain, and abstention rule.",One declared directional-identification problem.,Temporal order and association alone do not identify biological direction.,mooij2016cause
complete_entity_specific_mouse_brain_digital_twin__causal_intervention,complete_entity_specific_mouse_brain_digital_twin,causal_intervention,source_grounded_author_requirement,not_independently_validated,The strict twin subtype includes intervention-supported effects and cannot be inferred from observational prediction.,"The design, estimand, intervention, outcome, and identification assumptions must be explicit.",One bounded interventional or assumption-conditional effect.,The profile does not promote observational association into causal evidence.,mooij2016cause|asme2018vv40
complete_entity_specific_mouse_brain_digital_twin__whole_brain_coverage,complete_entity_specific_mouse_brain_digital_twin,whole_brain_coverage,source_grounded_author_requirement,not_independently_validated,Complete mouse-brain wording requires explicit atlas-grounded inclusion and exclusion at declared resolutions.,Complete-brain wording requires atlas-grounded included and excluded regions and resolutions.,The declared whole mouse brain.,"Regional, cortical, and mesoscale models remain partial.",oh2014mesoscale|bae2025microns|chen2026mousedtb
complete_entity_specific_mouse_brain_digital_twin__independent_validation,complete_entity_specific_mouse_brain_digital_twin,independent_validation,source_grounded_author_requirement,not_independently_validated,Validation data and endpoints must be independent of construction for the complete-twin context of use.,Validation resources and locked endpoints must be independent of model construction.,One declared model and context of use.,Internal hold-outs and development labels are not independent validation.,oberkampf2010verification|riedmaier2021vvuq
complete_entity_specific_mouse_brain_digital_twin__reproducible_compute,complete_entity_specific_mouse_brain_digital_twin,reproducible_compute,source_grounded_author_requirement,not_independently_validated,The computational entity must be reproducible from an identified clean implementation and environment.,"Reproduction requires a clean source revision, environment, entry point, and bound artifacts.",Re-execution of the declared computational workflow.,Computational reproduction is not biological replication.,nasem2019reproducibility|pineau2021reproducibility|barker2022fair4rs
complete_entity_specific_mouse_brain_digital_twin__entity_specificity,complete_entity_specific_mouse_brain_digital_twin,entity_specificity,source_grounded_author_requirement,not_independently_validated,A twin denotes one identified animal and cannot be replaced by a population archetype.,"A twin must preserve entity identity, calibration lineage, state time, and update policy.",One identified animal.,Population and canonical models are not entity-specific twins.,xiong2023dtb|riedmaier2021vvuq
complete_entity_specific_mouse_brain_digital_twin__operational_compute,complete_entity_specific_mouse_brain_digital_twin,operational_compute,source_grounded_author_requirement,not_independently_validated,Operational twin use requires runtime memory energy and update frequency to meet a declared budget.,"Runtime, memory, energy, and update frequency must satisfy a context-specific budget.",Declared hardware and operational use.,Successful offline execution does not imply operational adequacy.,asme2018vv40|riedmaier2021vvuq
complete_entity_specific_mouse_brain_digital_twin__uncertainty_quantification,complete_entity_specific_mouse_brain_digital_twin,uncertainty_quantification,source_grounded_author_requirement,not_independently_validated,A complete twin must expose uncertainty material to its predictions interventions and updates.,Uncertainty must be estimated at the inferential unit with a declared acceptance rule.,The uncertainty sources material to the bounded claim.,"One interval cannot cover omitted model, data, and transport uncertainties.",oberkampf2010verification|riedmaier2021vvuq|asme2018vv40
complete_entity_specific_mouse_brain_digital_twin__distribution_shift,complete_entity_specific_mouse_brain_digital_twin,distribution_shift,source_grounded_author_requirement,not_independently_validated,Entity and deployment changes require an explicit transport or shift assessment.,Source and target populations and the tested shift family must be explicit.,One declared transport path or deployment context.,Passing one shift family is not universal out-of-distribution validity.,riedmaier2021vvuq|geifman2019selectivenet
complete_entity_specific_mouse_brain_digital_twin__competing_mechanisms,complete_entity_specific_mouse_brain_digital_twin,competing_mechanisms,source_grounded_author_requirement,not_independently_validated,A mechanistic twin interpretation must record tested and unresolved alternative explanations.,Declared alternatives and unresolved explanations prevent topology or direction from becoming mechanism by wording.,"A prespecified, explicitly non-exhaustive alternative set.",No finite control set excludes all observationally equivalent mechanisms.,mooij2016cause|oberkampf2010verification
complete_entity_specific_mouse_brain_digital_twin__network_dependence_control,complete_entity_specific_mouse_brain_digital_twin,network_dependence_control,source_grounded_author_requirement,not_independently_validated,Network-derived validation quantities require inference that respects shared nodes and relational dependence.,Relational observations sharing nodes require an explicit dependence-aware inferential method.,The declared directed-pair frame and estimand.,Naive pair-level independence and descriptive stability are insufficient substitutes.,bae2025microns|ding2025wiring
complete_entity_specific_mouse_brain_digital_twin__robustness,complete_entity_specific_mouse_brain_digital_twin,robustness,source_grounded_author_requirement,not_independently_validated,Complete-twin authorization requires stability across declared data model and analysis perturbations.,The locked endpoint must survive a prespecified perturbation family and worst-case rule.,"Declared data, model, and analytical perturbations.",Robustness to tested perturbations does not establish universal stability.,oberkampf2010verification|riedmaier2021vvuq
complete_entity_specific_mouse_brain_digital_twin__context_of_use,complete_entity_specific_mouse_brain_digital_twin,context_of_use,source_grounded_author_requirement,not_independently_validated,The twin claim must bind intended use population outputs consequences and prohibited uses.,"Use, population, output, consequence, and prohibited uses bound every authorization.",One declared decision context.,Authorization cannot be transported by wording to another context.,asme2018vv40|riedmaier2021vvuq
complete_entity_specific_mouse_brain_digital_twin__biological_fidelity,complete_entity_specific_mouse_brain_digital_twin,biological_fidelity,source_grounded_author_requirement,not_independently_validated,Biological fidelity must be assessed for explicit observables and scales rather than inferred from one predictive score.,"Fidelity must name biological observables, scales, references, metrics, and acceptance rules.",The represented biological scales and outputs.,Predictive similarity on one observable is not comprehensive biological realism.,billeh2020v1|dai2020bmtk|melozzi2017virtualmouse
complete_entity_specific_mouse_brain_digital_twin__multiscale_consistency,complete_entity_specific_mouse_brain_digital_twin,multiscale_consistency,source_grounded_author_requirement,not_independently_validated,Whole-brain multiscale modules require tested interfaces and consistency rules rather than simple coexistence.,Coupled scales need explicit interfaces and executable consistency checks.,The declared scale interfaces.,Coexistence of modules is not validated multiscale coupling.,dai2020bmtk|melozzi2017virtualmouse|xiong2023dtb
complete_entity_specific_mouse_brain_digital_twin__data_quality,complete_entity_specific_mouse_brain_digital_twin,data_quality,source_grounded_author_requirement,not_independently_validated,Every anatomical functional and updating source must be fit for the complete-twin context of use.,"Data lineage, exclusions, missingness, and source-specific quality checks must be inspectable.",Every source used by the bounded claim.,Public availability alone does not establish fitness for use.,wilkinson2016fair|gebru2021datasheets|barker2022fair4rs
complete_entity_specific_mouse_brain_digital_twin__entity_update,complete_entity_specific_mouse_brain_digital_twin,entity_update,source_grounded_author_requirement,not_independently_validated,A twin must synchronize observations and model state for the identified entity rather than remain a static model.,"A twin must record observation time, model time, update method, and synchronization error.",One identified entity and update cycle.,A static entity-specific model is not an updating twin.,xiong2023dtb|chen2026mousedtb
