case_id,family,claim,expected_authorized,v2_authorized,expected_deficits,v2_exact_deficits,priority_exact_deficits,asp_checked,asp_exact,raw_status_all_passed_ignoring_schema,equal_weight_75_percent_ignoring_schema,prediction_shortcut_ignoring_schema
bounded_predictive_performance__status__data_quality__failed,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__status__data_quality__unknown,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__status__data_quality__not_applicable,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__status__data_quality__requires_review,single_status_defect,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__omitted__data_quality,omitted_required_block,bounded_predictive_performance,False,False,1,True,True,True,True,False,False,True
bounded_predictive_performance__metadata__data_quality__source,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__data_quality__lineage,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__data_quality__exclusions,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__data_quality__missingness,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__data_quality__quality_checks,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__metadata__data_quality__result,missing_required_observation,bounded_predictive_performance,False,False,1,True,False,True,True,True,True,True
bounded_predictive_performance__mixed__prediction__failed__context_of_use__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__failed__context_of_use__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__failed__context_of_use__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__failed__context_of_use__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__unknown__context_of_use__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__unknown__context_of_use__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__unknown__context_of_use__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__unknown__context_of_use__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__not_applicable__context_of_use__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__not_applicable__context_of_use__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__not_applicable__context_of_use__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__not_applicable__context_of_use__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__requires_review__context_of_use__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__requires_review__context_of_use__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__requires_review__context_of_use__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__requires_review__context_of_use__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__failed__data_quality__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__failed__data_quality__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__failed__data_quality__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__failed__data_quality__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__unknown__data_quality__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__unknown__data_quality__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__unknown__data_quality__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__unknown__data_quality__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__not_applicable__data_quality__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__not_applicable__data_quality__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__not_applicable__data_quality__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__not_applicable__data_quality__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__requires_review__data_quality__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__requires_review__data_quality__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__requires_review__data_quality__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,False
bounded_predictive_performance__mixed__prediction__requires_review__data_quality__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,False
bounded_predictive_performance__mixed__context_of_use__failed__data_quality__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__failed__data_quality__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__failed__data_quality__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__failed__data_quality__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__unknown__data_quality__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__unknown__data_quality__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__unknown__data_quality__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__unknown__data_quality__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__not_applicable__data_quality__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__not_applicable__data_quality__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__not_applicable__data_quality__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__not_applicable__data_quality__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__requires_review__data_quality__failed,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__requires_review__data_quality__unknown,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__requires_review__data_quality__not_applicable,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,False,True,True,False,False,True
bounded_predictive_performance__mixed__context_of_use__requires_review__data_quality__requires_review,pairwise_mixed_status_defects,bounded_predictive_performance,False,False,2,True,True,True,True,False,False,True
clean_computational_reproduction__pristine,pristine_complete,clean_computational_reproduction,True,True,0,True,True,True,True,True,True,True
clean_computational_reproduction__status__reproducible_compute__failed,single_status_defect,clean_computational_reproduction,False,False,1,True,True,True,True,False,False,False
clean_computational_reproduction__status__reproducible_compute__unknown,single_status_defect,clean_computational_reproduction,False,False,1,True,True,True,True,False,False,False
clean_computational_reproduction__status__reproducible_compute__not_applicable,single_status_defect,clean_computational_reproduction,False,False,1,True,True,True,True,False,False,False
clean_computational_reproduction__status__reproducible_compute__requires_review,single_status_defect,clean_computational_reproduction,False,False,1,True,True,True,True,False,False,False
clean_computational_reproduction__omitted__reproducible_compute,omitted_required_block,clean_computational_reproduction,False,False,1,True,True,True,True,False,False,False
clean_computational_reproduction__metadata__reproducible_compute__source_revision,missing_required_observation,clean_computational_reproduction,False,False,1,True,False,True,True,True,True,True
clean_computational_reproduction__metadata__reproducible_compute__environment,missing_required_observation,clean_computational_reproduction,False,False,1,True,False,True,True,True,True,True
clean_computational_reproduction__metadata__reproducible_compute__entrypoint,missing_required_observation,clean_computational_reproduction,False,False,1,True,False,True,True,True,True,True
clean_computational_reproduction__metadata__reproducible_compute__artifact_revision,missing_required_observation,clean_computational_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__pristine,pristine_complete,within_resource_reproduction,True,True,0,True,True,True,True,True,True,True
within_resource_reproduction__status__internal_reproduction__failed,single_status_defect,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__status__internal_reproduction__unknown,single_status_defect,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__status__internal_reproduction__not_applicable,single_status_defect,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__status__internal_reproduction__requires_review,single_status_defect,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__omitted__internal_reproduction,omitted_required_block,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__metadata__internal_reproduction__unit,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__internal_reproduction__partition_a,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__internal_reproduction__partition_b,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__internal_reproduction__overlap,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__internal_reproduction__agreement_metric,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__internal_reproduction__threshold,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__internal_reproduction__value,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__status__data_quality__failed,single_status_defect,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__status__data_quality__unknown,single_status_defect,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__status__data_quality__not_applicable,single_status_defect,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__status__data_quality__requires_review,single_status_defect,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__omitted__data_quality,omitted_required_block,within_resource_reproduction,False,False,1,True,True,True,True,False,False,False
within_resource_reproduction__metadata__data_quality__source,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__data_quality__lineage,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__data_quality__exclusions,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__data_quality__missingness,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__data_quality__quality_checks,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__metadata__data_quality__result,missing_required_observation,within_resource_reproduction,False,False,1,True,False,True,True,True,True,True
within_resource_reproduction__mixed__internal_reproduction__failed__data_quality__failed,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,True,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__failed__data_quality__unknown,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__failed__data_quality__not_applicable,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__failed__data_quality__requires_review,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__unknown__data_quality__failed,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__unknown__data_quality__unknown,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,True,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__unknown__data_quality__not_applicable,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__unknown__data_quality__requires_review,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__not_applicable__data_quality__failed,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__not_applicable__data_quality__unknown,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__not_applicable__data_quality__not_applicable,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,True,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__not_applicable__data_quality__requires_review,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__requires_review__data_quality__failed,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__requires_review__data_quality__unknown,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__requires_review__data_quality__not_applicable,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,False,True,True,False,False,False
within_resource_reproduction__mixed__internal_reproduction__requires_review__data_quality__requires_review,pairwise_mixed_status_defects,within_resource_reproduction,False,False,2,True,True,True,True,False,False,False
independent_study_replication__pristine,pristine_complete,independent_study_replication,True,True,0,True,True,True,True,True,True,True
independent_study_replication__status__external_replication__failed,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__status__external_replication__unknown,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__status__external_replication__not_applicable,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__status__external_replication__requires_review,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__omitted__external_replication,omitted_required_block,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__metadata__external_replication__study_id,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__external_replication__data_generation_id,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__external_replication__laboratory,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__external_replication__independence_basis,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__external_replication__endpoint,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__external_replication__value,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__status__context_of_use__failed,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__status__context_of_use__unknown,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__status__context_of_use__not_applicable,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__status__context_of_use__requires_review,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__omitted__context_of_use,omitted_required_block,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__metadata__context_of_use__use,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__context_of_use__population,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__context_of_use__output,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__context_of_use__decision_consequence,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__context_of_use__prohibited_uses,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__status__data_quality__failed,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__status__data_quality__unknown,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__status__data_quality__not_applicable,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__status__data_quality__requires_review,single_status_defect,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__omitted__data_quality,omitted_required_block,independent_study_replication,False,False,1,True,True,True,True,False,False,False
independent_study_replication__metadata__data_quality__source,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__data_quality__lineage,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__data_quality__exclusions,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__data_quality__missingness,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__data_quality__quality_checks,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__metadata__data_quality__result,missing_required_observation,independent_study_replication,False,False,1,True,False,True,True,True,True,True
independent_study_replication__mixed__external_replication__failed__context_of_use__failed,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,True,True,True,False,False,False
independent_study_replication__mixed__external_replication__failed__context_of_use__unknown,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__failed__context_of_use__not_applicable,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__failed__context_of_use__requires_review,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__unknown__context_of_use__failed,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__unknown__context_of_use__unknown,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,True,True,True,False,False,False
independent_study_replication__mixed__external_replication__unknown__context_of_use__not_applicable,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__unknown__context_of_use__requires_review,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__not_applicable__context_of_use__failed,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__not_applicable__context_of_use__unknown,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__not_applicable__context_of_use__not_applicable,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,True,True,True,False,False,False
independent_study_replication__mixed__external_replication__not_applicable__context_of_use__requires_review,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__requires_review__context_of_use__failed,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__requires_review__context_of_use__unknown,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__requires_review__context_of_use__not_applicable,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__requires_review__context_of_use__requires_review,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,True,True,True,False,False,False
independent_study_replication__mixed__external_replication__failed__data_quality__failed,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,True,True,True,False,False,False
independent_study_replication__mixed__external_replication__failed__data_quality__unknown,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__failed__data_quality__not_applicable,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__failed__data_quality__requires_review,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__unknown__data_quality__failed,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__unknown__data_quality__unknown,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,True,True,True,False,False,False
independent_study_replication__mixed__external_replication__unknown__data_quality__not_applicable,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__unknown__data_quality__requires_review,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__not_applicable__data_quality__failed,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__not_applicable__data_quality__unknown,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__not_applicable__data_quality__not_applicable,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,True,True,True,False,False,False
independent_study_replication__mixed__external_replication__not_applicable__data_quality__requires_review,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__requires_review__data_quality__failed,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__requires_review__data_quality__unknown,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__requires_review__data_quality__not_applicable,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__external_replication__requires_review__data_quality__requires_review,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,True,True,True,False,False,False
independent_study_replication__mixed__context_of_use__failed__data_quality__failed,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,True,True,True,False,False,False
independent_study_replication__mixed__context_of_use__failed__data_quality__unknown,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
independent_study_replication__mixed__context_of_use__failed__data_quality__not_applicable,pairwise_mixed_status_defects,independent_study_replication,False,False,2,True,False,True,True,False,False,False
