variant_id,operation,claim,evidence_block,decision_flips,authorization_expansions,authorization_contractions,deficit_set_changes,mean_deficit_jaccard,changed_cases
add__within_resource_reproduction__prediction,add_unrequired_relation,within_resource_reproduction,prediction,0,0,0,0,1.0,
add__within_resource_reproduction__reproducible_compute,add_unrequired_relation,within_resource_reproduction,reproducible_compute,0,0,0,0,1.0,
add__within_resource_reproduction__external_replication,add_unrequired_relation,within_resource_reproduction,external_replication,0,0,0,0,1.0,
add__within_resource_reproduction__topology_specificity,add_unrequired_relation,within_resource_reproduction,topology_specificity,0,0,0,0,1.0,
add__within_resource_reproduction__directed_identifiability,add_unrequired_relation,within_resource_reproduction,directed_identifiability,0,0,0,0,1.0,
add__within_resource_reproduction__structure_function_association,add_unrequired_relation,within_resource_reproduction,structure_function_association,0,0,0,0,1.0,
add__within_resource_reproduction__causal_intervention,add_unrequired_relation,within_resource_reproduction,causal_intervention,0,0,0,0,1.0,
add__within_resource_reproduction__whole_brain_coverage,add_unrequired_relation,within_resource_reproduction,whole_brain_coverage,0,0,0,0,1.0,
add__within_resource_reproduction__independent_validation,add_unrequired_relation,within_resource_reproduction,independent_validation,0,0,0,0,1.0,
add__within_resource_reproduction__entity_specificity,add_unrequired_relation,within_resource_reproduction,entity_specificity,0,0,0,0,1.0,
add__within_resource_reproduction__operational_compute,add_unrequired_relation,within_resource_reproduction,operational_compute,0,0,0,0,1.0,
add__within_resource_reproduction__uncertainty_quantification,add_unrequired_relation,within_resource_reproduction,uncertainty_quantification,0,0,0,0,1.0,
add__within_resource_reproduction__distribution_shift,add_unrequired_relation,within_resource_reproduction,distribution_shift,0,0,0,0,1.0,
add__within_resource_reproduction__competing_mechanisms,add_unrequired_relation,within_resource_reproduction,competing_mechanisms,0,0,0,0,1.0,
add__within_resource_reproduction__network_dependence_control,add_unrequired_relation,within_resource_reproduction,network_dependence_control,0,0,0,0,1.0,
add__within_resource_reproduction__robustness,add_unrequired_relation,within_resource_reproduction,robustness,0,0,0,0,1.0,
add__within_resource_reproduction__context_of_use,add_unrequired_relation,within_resource_reproduction,context_of_use,0,0,0,0,1.0,
add__within_resource_reproduction__biological_fidelity,add_unrequired_relation,within_resource_reproduction,biological_fidelity,0,0,0,0,1.0,
add__within_resource_reproduction__multiscale_consistency,add_unrequired_relation,within_resource_reproduction,multiscale_consistency,0,0,0,0,1.0,
add__within_resource_reproduction__entity_update,add_unrequired_relation,within_resource_reproduction,entity_update,0,0,0,0,1.0,
remove__independent_study_replication__external_replication,remove_required_relation,independent_study_replication,external_replication,0,0,0,0,1.0,
remove__independent_study_replication__context_of_use,remove_required_relation,independent_study_replication,context_of_use,0,0,0,0,1.0,
remove__independent_study_replication__data_quality,remove_required_relation,independent_study_replication,data_quality,0,0,0,0,1.0,
add__independent_study_replication__prediction,add_unrequired_relation,independent_study_replication,prediction,0,0,0,0,1.0,
add__independent_study_replication__reproducible_compute,add_unrequired_relation,independent_study_replication,reproducible_compute,0,0,0,0,1.0,
add__independent_study_replication__internal_reproduction,add_unrequired_relation,independent_study_replication,internal_reproduction,0,0,0,0,1.0,
add__independent_study_replication__topology_specificity,add_unrequired_relation,independent_study_replication,topology_specificity,0,0,0,0,1.0,
add__independent_study_replication__directed_identifiability,add_unrequired_relation,independent_study_replication,directed_identifiability,0,0,0,0,1.0,
add__independent_study_replication__structure_function_association,add_unrequired_relation,independent_study_replication,structure_function_association,0,0,0,0,1.0,
add__independent_study_replication__causal_intervention,add_unrequired_relation,independent_study_replication,causal_intervention,0,0,0,0,1.0,
add__independent_study_replication__whole_brain_coverage,add_unrequired_relation,independent_study_replication,whole_brain_coverage,0,0,0,0,1.0,
add__independent_study_replication__independent_validation,add_unrequired_relation,independent_study_replication,independent_validation,0,0,0,0,1.0,
add__independent_study_replication__entity_specificity,add_unrequired_relation,independent_study_replication,entity_specificity,0,0,0,0,1.0,
add__independent_study_replication__operational_compute,add_unrequired_relation,independent_study_replication,operational_compute,0,0,0,0,1.0,
add__independent_study_replication__uncertainty_quantification,add_unrequired_relation,independent_study_replication,uncertainty_quantification,0,0,0,0,1.0,
add__independent_study_replication__distribution_shift,add_unrequired_relation,independent_study_replication,distribution_shift,0,0,0,0,1.0,
add__independent_study_replication__competing_mechanisms,add_unrequired_relation,independent_study_replication,competing_mechanisms,0,0,0,0,1.0,
add__independent_study_replication__network_dependence_control,add_unrequired_relation,independent_study_replication,network_dependence_control,0,0,0,0,1.0,
add__independent_study_replication__robustness,add_unrequired_relation,independent_study_replication,robustness,0,0,0,0,1.0,
add__independent_study_replication__biological_fidelity,add_unrequired_relation,independent_study_replication,biological_fidelity,0,0,0,0,1.0,
add__independent_study_replication__multiscale_consistency,add_unrequired_relation,independent_study_replication,multiscale_consistency,0,0,0,0,1.0,
add__independent_study_replication__entity_update,add_unrequired_relation,independent_study_replication,entity_update,0,0,0,0,1.0,
remove__topology_specific_prediction__prediction,remove_required_relation,topology_specific_prediction,prediction,0,0,0,0,1.0,
remove__topology_specific_prediction__topology_specificity,remove_required_relation,topology_specific_prediction,topology_specificity,0,0,0,0,1.0,
remove__topology_specific_prediction__uncertainty_quantification,remove_required_relation,topology_specific_prediction,uncertainty_quantification,0,0,0,0,1.0,
remove__topology_specific_prediction__robustness,remove_required_relation,topology_specific_prediction,robustness,0,0,0,0,1.0,
remove__topology_specific_prediction__context_of_use,remove_required_relation,topology_specific_prediction,context_of_use,0,0,0,0,1.0,
add__topology_specific_prediction__reproducible_compute,add_unrequired_relation,topology_specific_prediction,reproducible_compute,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__internal_reproduction,add_unrequired_relation,topology_specific_prediction,internal_reproduction,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__external_replication,add_unrequired_relation,topology_specific_prediction,external_replication,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__directed_identifiability,add_unrequired_relation,topology_specific_prediction,directed_identifiability,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__structure_function_association,add_unrequired_relation,topology_specific_prediction,structure_function_association,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__causal_intervention,add_unrequired_relation,topology_specific_prediction,causal_intervention,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__whole_brain_coverage,add_unrequired_relation,topology_specific_prediction,whole_brain_coverage,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__independent_validation,add_unrequired_relation,topology_specific_prediction,independent_validation,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__entity_specificity,add_unrequired_relation,topology_specific_prediction,entity_specificity,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__operational_compute,add_unrequired_relation,topology_specific_prediction,operational_compute,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__distribution_shift,add_unrequired_relation,topology_specific_prediction,distribution_shift,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__competing_mechanisms,add_unrequired_relation,topology_specific_prediction,competing_mechanisms,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__network_dependence_control,add_unrequired_relation,topology_specific_prediction,network_dependence_control,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__biological_fidelity,add_unrequired_relation,topology_specific_prediction,biological_fidelity,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__multiscale_consistency,add_unrequired_relation,topology_specific_prediction,multiscale_consistency,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__data_quality,add_unrequired_relation,topology_specific_prediction,data_quality,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
add__topology_specific_prediction__entity_update,add_unrequired_relation,topology_specific_prediction,entity_update,1,0,1,1,0.9285714285714286,ibl_behavior_topology_specific_prediction__target
remove__assumption_conditional_direction__directed_identifiability,remove_required_relation,assumption_conditional_direction,directed_identifiability,0,0,0,0,1.0,
remove__assumption_conditional_direction__uncertainty_quantification,remove_required_relation,assumption_conditional_direction,uncertainty_quantification,0,0,0,0,1.0,
remove__assumption_conditional_direction__robustness,remove_required_relation,assumption_conditional_direction,robustness,0,0,0,0,1.0,
remove__assumption_conditional_direction__context_of_use,remove_required_relation,assumption_conditional_direction,context_of_use,0,0,0,0,1.0,
add__assumption_conditional_direction__prediction,add_unrequired_relation,assumption_conditional_direction,prediction,0,0,0,0,1.0,
add__assumption_conditional_direction__reproducible_compute,add_unrequired_relation,assumption_conditional_direction,reproducible_compute,0,0,0,0,1.0,
add__assumption_conditional_direction__internal_reproduction,add_unrequired_relation,assumption_conditional_direction,internal_reproduction,0,0,0,0,1.0,
add__assumption_conditional_direction__external_replication,add_unrequired_relation,assumption_conditional_direction,external_replication,0,0,0,0,1.0,
add__assumption_conditional_direction__topology_specificity,add_unrequired_relation,assumption_conditional_direction,topology_specificity,0,0,0,0,1.0,
add__assumption_conditional_direction__structure_function_association,add_unrequired_relation,assumption_conditional_direction,structure_function_association,0,0,0,0,1.0,
add__assumption_conditional_direction__causal_intervention,add_unrequired_relation,assumption_conditional_direction,causal_intervention,0,0,0,0,1.0,
add__assumption_conditional_direction__whole_brain_coverage,add_unrequired_relation,assumption_conditional_direction,whole_brain_coverage,0,0,0,0,1.0,
add__assumption_conditional_direction__independent_validation,add_unrequired_relation,assumption_conditional_direction,independent_validation,0,0,0,0,1.0,
add__assumption_conditional_direction__entity_specificity,add_unrequired_relation,assumption_conditional_direction,entity_specificity,0,0,0,0,1.0,
add__assumption_conditional_direction__operational_compute,add_unrequired_relation,assumption_conditional_direction,operational_compute,0,0,0,0,1.0,
add__assumption_conditional_direction__distribution_shift,add_unrequired_relation,assumption_conditional_direction,distribution_shift,0,0,0,0,1.0,
add__assumption_conditional_direction__competing_mechanisms,add_unrequired_relation,assumption_conditional_direction,competing_mechanisms,0,0,0,0,1.0,
add__assumption_conditional_direction__network_dependence_control,add_unrequired_relation,assumption_conditional_direction,network_dependence_control,0,0,0,0,1.0,
add__assumption_conditional_direction__biological_fidelity,add_unrequired_relation,assumption_conditional_direction,biological_fidelity,0,0,0,0,1.0,
add__assumption_conditional_direction__multiscale_consistency,add_unrequired_relation,assumption_conditional_direction,multiscale_consistency,0,0,0,0,1.0,
add__assumption_conditional_direction__data_quality,add_unrequired_relation,assumption_conditional_direction,data_quality,0,0,0,0,1.0,
add__assumption_conditional_direction__entity_update,add_unrequired_relation,assumption_conditional_direction,entity_update,0,0,0,0,1.0,
remove__local_observational_structure_function_association__structure_function_association,remove_required_relation,local_observational_structure_function_association,structure_function_association,0,0,0,0,1.0,
remove__local_observational_structure_function_association__network_dependence_control,remove_required_relation,local_observational_structure_function_association,network_dependence_control,0,0,0,0,1.0,
remove__local_observational_structure_function_association__uncertainty_quantification,remove_required_relation,local_observational_structure_function_association,uncertainty_quantification,0,0,0,0,1.0,
remove__local_observational_structure_function_association__robustness,remove_required_relation,local_observational_structure_function_association,robustness,0,0,0,0,1.0,
remove__local_observational_structure_function_association__context_of_use,remove_required_relation,local_observational_structure_function_association,context_of_use,0,0,0,0,1.0,
remove__local_observational_structure_function_association__data_quality,remove_required_relation,local_observational_structure_function_association,data_quality,0,0,0,0,1.0,
add__local_observational_structure_function_association__prediction,add_unrequired_relation,local_observational_structure_function_association,prediction,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__reproducible_compute,add_unrequired_relation,local_observational_structure_function_association,reproducible_compute,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__internal_reproduction,add_unrequired_relation,local_observational_structure_function_association,internal_reproduction,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__external_replication,add_unrequired_relation,local_observational_structure_function_association,external_replication,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__topology_specificity,add_unrequired_relation,local_observational_structure_function_association,topology_specificity,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__directed_identifiability,add_unrequired_relation,local_observational_structure_function_association,directed_identifiability,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__causal_intervention,add_unrequired_relation,local_observational_structure_function_association,causal_intervention,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__whole_brain_coverage,add_unrequired_relation,local_observational_structure_function_association,whole_brain_coverage,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__independent_validation,add_unrequired_relation,local_observational_structure_function_association,independent_validation,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__entity_specificity,add_unrequired_relation,local_observational_structure_function_association,entity_specificity,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__operational_compute,add_unrequired_relation,local_observational_structure_function_association,operational_compute,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__distribution_shift,add_unrequired_relation,local_observational_structure_function_association,distribution_shift,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__competing_mechanisms,add_unrequired_relation,local_observational_structure_function_association,competing_mechanisms,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__biological_fidelity,add_unrequired_relation,local_observational_structure_function_association,biological_fidelity,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__multiscale_consistency,add_unrequired_relation,local_observational_structure_function_association,multiscale_consistency,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
add__local_observational_structure_function_association__entity_update,add_unrequired_relation,local_observational_structure_function_association,entity_update,1,0,1,1,0.9285714285714286,microns_local_association_with_dyadic_control__target
remove__intervention_supported_effect__causal_intervention,remove_required_relation,intervention_supported_effect,causal_intervention,0,0,0,0,1.0,
remove__intervention_supported_effect__uncertainty_quantification,remove_required_relation,intervention_supported_effect,uncertainty_quantification,0,0,0,0,1.0,
remove__intervention_supported_effect__robustness,remove_required_relation,intervention_supported_effect,robustness,0,0,0,0,1.0,
remove__intervention_supported_effect__context_of_use,remove_required_relation,intervention_supported_effect,context_of_use,0,0,0,0,1.0,
remove__intervention_supported_effect__data_quality,remove_required_relation,intervention_supported_effect,data_quality,0,0,0,0,1.0,
add__intervention_supported_effect__prediction,add_unrequired_relation,intervention_supported_effect,prediction,0,0,0,0,1.0,
add__intervention_supported_effect__reproducible_compute,add_unrequired_relation,intervention_supported_effect,reproducible_compute,0,0,0,0,1.0,
add__intervention_supported_effect__internal_reproduction,add_unrequired_relation,intervention_supported_effect,internal_reproduction,0,0,0,0,1.0,
add__intervention_supported_effect__external_replication,add_unrequired_relation,intervention_supported_effect,external_replication,0,0,0,0,1.0,
add__intervention_supported_effect__topology_specificity,add_unrequired_relation,intervention_supported_effect,topology_specificity,0,0,0,0,1.0,
add__intervention_supported_effect__directed_identifiability,add_unrequired_relation,intervention_supported_effect,directed_identifiability,0,0,0,0,1.0,
add__intervention_supported_effect__structure_function_association,add_unrequired_relation,intervention_supported_effect,structure_function_association,0,0,0,0,1.0,
add__intervention_supported_effect__whole_brain_coverage,add_unrequired_relation,intervention_supported_effect,whole_brain_coverage,0,0,0,0,1.0,
add__intervention_supported_effect__independent_validation,add_unrequired_relation,intervention_supported_effect,independent_validation,0,0,0,0,1.0,
add__intervention_supported_effect__entity_specificity,add_unrequired_relation,intervention_supported_effect,entity_specificity,0,0,0,0,1.0,
add__intervention_supported_effect__operational_compute,add_unrequired_relation,intervention_supported_effect,operational_compute,0,0,0,0,1.0,
add__intervention_supported_effect__distribution_shift,add_unrequired_relation,intervention_supported_effect,distribution_shift,0,0,0,0,1.0,
add__intervention_supported_effect__competing_mechanisms,add_unrequired_relation,intervention_supported_effect,competing_mechanisms,0,0,0,0,1.0,
add__intervention_supported_effect__network_dependence_control,add_unrequired_relation,intervention_supported_effect,network_dependence_control,0,0,0,0,1.0,
add__intervention_supported_effect__biological_fidelity,add_unrequired_relation,intervention_supported_effect,biological_fidelity,0,0,0,0,1.0,
add__intervention_supported_effect__multiscale_consistency,add_unrequired_relation,intervention_supported_effect,multiscale_consistency,0,0,0,0,1.0,
add__intervention_supported_effect__entity_update,add_unrequired_relation,intervention_supported_effect,entity_update,0,0,0,0,1.0,
remove__directed_topology_consistent_prediction__prediction,remove_required_relation,directed_topology_consistent_prediction,prediction,0,0,0,1,0.9920634920634921,
remove__directed_topology_consistent_prediction__internal_reproduction,remove_required_relation,directed_topology_consistent_prediction,internal_reproduction,0,0,0,1,0.9920634920634921,
remove__directed_topology_consistent_prediction__topology_specificity,remove_required_relation,directed_topology_consistent_prediction,topology_specificity,0,0,0,1,0.9920634920634921,
remove__directed_topology_consistent_prediction__directed_identifiability,remove_required_relation,directed_topology_consistent_prediction,directed_identifiability,0,0,0,1,0.9920634920634921,
remove__directed_topology_consistent_prediction__uncertainty_quantification,remove_required_relation,directed_topology_consistent_prediction,uncertainty_quantification,0,0,0,1,0.9920634920634921,
remove__directed_topology_consistent_prediction__distribution_shift,remove_required_relation,directed_topology_consistent_prediction,distribution_shift,0,0,0,1,0.9920634920634921,
remove__directed_topology_consistent_prediction__competing_mechanisms,remove_required_relation,directed_topology_consistent_prediction,competing_mechanisms,0,0,0,1,0.9920634920634921,
remove__directed_topology_consistent_prediction__robustness,remove_required_relation,directed_topology_consistent_prediction,robustness,0,0,0,1,0.9920634920634921,
remove__directed_topology_consistent_prediction__context_of_use,remove_required_relation,directed_topology_consistent_prediction,context_of_use,0,0,0,0,1.0,
remove__directed_topology_consistent_prediction__data_quality,remove_required_relation,directed_topology_consistent_prediction,data_quality,0,0,0,1,0.9920634920634921,
add__directed_topology_consistent_prediction__reproducible_compute,add_unrequired_relation,directed_topology_consistent_prediction,reproducible_compute,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__external_replication,add_unrequired_relation,directed_topology_consistent_prediction,external_replication,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__structure_function_association,add_unrequired_relation,directed_topology_consistent_prediction,structure_function_association,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__causal_intervention,add_unrequired_relation,directed_topology_consistent_prediction,causal_intervention,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__whole_brain_coverage,add_unrequired_relation,directed_topology_consistent_prediction,whole_brain_coverage,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__independent_validation,add_unrequired_relation,directed_topology_consistent_prediction,independent_validation,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__entity_specificity,add_unrequired_relation,directed_topology_consistent_prediction,entity_specificity,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__operational_compute,add_unrequired_relation,directed_topology_consistent_prediction,operational_compute,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__network_dependence_control,add_unrequired_relation,directed_topology_consistent_prediction,network_dependence_control,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__biological_fidelity,add_unrequired_relation,directed_topology_consistent_prediction,biological_fidelity,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__multiscale_consistency,add_unrequired_relation,directed_topology_consistent_prediction,multiscale_consistency,0,0,0,1,0.9928571428571429,
add__directed_topology_consistent_prediction__entity_update,add_unrequired_relation,directed_topology_consistent_prediction,entity_update,0,0,0,1,0.9928571428571429,
remove__complete_entity_specific_mouse_brain_digital_twin__prediction,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,prediction,0,0,0,3,0.9883928571428572,
remove__complete_entity_specific_mouse_brain_digital_twin__internal_reproduction,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,internal_reproduction,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__external_replication,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,external_replication,0,0,0,7,0.9722326649958228,
remove__complete_entity_specific_mouse_brain_digital_twin__topology_specificity,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,topology_specificity,0,0,0,6,0.9766969507101085,
remove__complete_entity_specific_mouse_brain_digital_twin__directed_identifiability,remove_required_relation,complete_entity_specific_mouse_brain_digital_twin,directed_identifiability,0,0,0,7,0.9722326649958228,
