item_id,claim_type,claim_text,source,annotator_id,reference_label,confidence_1_to_5,rationale,adjudication_status
MCB-033,prediction,"Five current public mice and five legacy out-of-distribution mice were evaluated with seven model families: mean response, summary features, temporal filterbank, temporal , random features, a compact PyTorch , and a bounded model instantiated through the official Sensorium loader and model factory.",deterministic_extractor,,,,,
MCB-034,prediction,"The present framework reserves stronger twin claims for systems that can demonstrate entity-specific calibration, state-dependent prediction, and suitable interventional validation.",deterministic_extractor,,,,,
MCB-035,prediction,Sensorium provides common predictive tasks for mouse visual cortex .,deterministic_extractor,,,,,
MCB-036,reproducibility,"The framework assigns public datasets to explicit evidential roles, evaluates them using matched null models and hold-out checks, and records which interpretations are admitted or blocked.",deterministic_extractor,,,,,
MCB-037,reproducibility,"Local structure--function evaluations use matched anatomical controls, multiplicity correction, and non-overlapping internal hold-out reproduction.",deterministic_extractor,,,,,
MCB-038,reproducibility,"The adapter added versioned queries, pair construction, anatomical matching, false-discovery-rate correction, and unit-cluster bootstrap inference.",deterministic_extractor,,,,,
MCB-039,reproducibility,"Therefore, discovery values are reported for continuity and effect-size description, while the hold-out support for the biological endpoint comes from the two non-overlapping hold-out windows and the unit-cluster stability analysis.",deterministic_extractor,,,,,
MCB-040,reproducibility,"The validation module computes metrics, null-model comparisons, and bootstrap summaries.",deterministic_extractor,,,,,
MCB-041,reproducibility,asks whether the same audit can admit a positive structure--function result when the endpoint survives matched controls and two non-overlapping internal hold-out windows.,deterministic_extractor,,,,,
MCB-042,sota,The audit marks this artifact as an interoperability control and blocks state-of-the-art or leaderboard-equivalent interpretations because the published training budget and protocol were not reproduced.,deterministic_extractor,,,,,
MCB-043,sota,"For this reason, the main gap is not the absence of another simulator or another visual-response leaderboard.",deterministic_extractor,,,,,
MCB-044,structure_function,"MouseBrainBench is evaluated with controlled simulations, Allen Visual Behavior Neuropixels, Static and Dynamic Sensorium, and Machine Intelligence from Cortical Networks (MICrONS).",deterministic_extractor,,,,,
MCB-045,structure_function,"Finally, connectomic and structure--function studies are addressed, as they are the basis for the MICRONS validation case.",deterministic_extractor,,,,,
MCB-046,structure_function,"A MICRONS validation case is provided using a discovery-fixed primary endpoint, distance- and degree-matched null models, false-discovery-rate correction, unit-cluster bootstrap stability intervals, and two non-overlapping hold-out windows.",deterministic_extractor,,,,,
MCB-047,structure_function,"The main positive empirical case is a local MICrONS structure--function analysis: across one discovery cohort and two non-overlapping hold-out windows from the same resource, connected directed pairs show greater readout-location similarity than distance- and degree-matched controls.",deterministic_extractor,,,,,
MCB-048,structure_function,"Finally, MICRONS is used to test a discovery-fixed local structure--function endpoint against distance- and degree-matched nulls in a discovery cohort and two non-overlapping hold-outs.",deterministic_extractor,,,,,
MCB-049,structure_function,Recent foundation models extend prediction to new visual stimulus types and provide functional descriptors for the MICRONS animal .,deterministic_extractor,,,,,
MCB-050,structure_function,It diagnoses the failure of a broad aggregate structure--function endpoint after distance matching and fixes the more specific `all-pairs/readout-location' endpoint.,deterministic_extractor,,,,,
