item_id,item_type,claim,evidence_block,statement,claim_meaning,rationale,scope,exceptions,alternatives_rejected,source_ids
relation__mechanistic__directed_identifiability,evidence_to_claim_relation,mechanistic,directed_identifiability,"For 'mechanistic', the block 'directed_identifiability' has role: necessary_under_this_profile_not_scientifically_sufficient.","prediction, internal reproduction, topology specificity, and direction all pass",The proposed mechanistic relation must have identified direction within its model class.,The declared directional test and assumptions.,Direction does not by itself establish intervention-level causality.,Undirected association reported as mechanism.,mooij2016cause
relation__causal__causal_intervention,evidence_to_claim_relation,causal,causal_intervention,"For 'causal', the block 'causal_intervention' has role: necessary_and_sufficient_only_for_profile_authorization.",an intervention or another prespecified causal-identification design passes,Causal authorization requires intervention evidence or a prespecified identification design.,"The intervention, estimand, assumptions, and measured outcome.",Unverifiable assumptions remain explicit limitations.,"Correlation, prediction, or temporal precedence alone.",mooij2016cause|asme2018vv40
relation__digital_twin__prediction,evidence_to_claim_relation,digital_twin,prediction,"For 'digital_twin', the block 'prediction' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass",A complete entity-specific twin must predict declared observables.,Context-of-use targets and held-out conditions.,Prediction alone is compatible with non-twin models.,Signal agreement as the sole twin criterion.,xiong2023dtb|chen2026mousedtb
relation__digital_twin__internal_reproduction,evidence_to_claim_relation,digital_twin,internal_reproduction,"For 'digital_twin', the block 'internal_reproduction' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass",The entity-specific result must remain stable in non-overlapping internal evaluations.,Declared within-entity or within-resource units.,Internal stability is not external validation.,One evaluation window.,nasem2019reproducibility|xiong2023dtb
relation__digital_twin__topology_specificity,evidence_to_claim_relation,digital_twin,topology_specificity,"For 'digital_twin', the block 'topology_specificity' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass",Structural organization must be distinguishable from prespecified alternatives.,The represented anatomical scale and controls.,Inferred connectivity remains conditional on its data model.,Any fitted topology with similar output.,knox2019connectome|chen2026mousedtb
relation__digital_twin__directed_identifiability,evidence_to_claim_relation,digital_twin,directed_identifiability,"For 'digital_twin', the block 'directed_identifiability' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass",Directional organization must be identified rather than assumed from chronology.,The declared directional assumptions.,Direction alone does not establish causality.,Undirected functional agreement.,mooij2016cause|xiong2023dtb
relation__digital_twin__causal_intervention,evidence_to_claim_relation,digital_twin,causal_intervention,"For 'digital_twin', the block 'causal_intervention' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass",A complete causal twin must support a declared interventional claim.,The tested intervention and outcome.,The current paper evaluates no such complete twin.,Observational fit promoted to causal twin status.,asme2018vv40|xiong2023dtb
relation__digital_twin__whole_brain_coverage,evidence_to_claim_relation,digital_twin,whole_brain_coverage,"For 'digital_twin', the block 'whole_brain_coverage' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass",Complete mouse-brain wording requires declared whole-brain anatomical coverage.,"Included regions, resolutions, cell populations, and missing structures.",Local cortical volumes can support only partial-model claims.,Partial cortex described as a complete brain.,oh2014mesoscale|bae2025microns|chen2026mousedtb
relation__digital_twin__independent_validation,evidence_to_claim_relation,digital_twin,independent_validation,"For 'digital_twin', the block 'independent_validation' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass",Twin claims require evaluation not used to fit or construct the entity model.,Independent data and prespecified acceptance criteria.,Internal hold-outs remain weaker evidence.,Training or discovery data reused as validation.,oberkampf2010verification|riedmaier2021vvuq
relation__digital_twin__reproducible_compute,evidence_to_claim_relation,digital_twin,reproducible_compute,"For 'digital_twin', the block 'reproducible_compute' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass",The computational twin workflow must be reproducible from a clean recorded revision.,"Code, configuration, dependencies, and permitted source data.",Reproducibility does not imply biological fidelity.,Unversioned execution.,nasem2019reproducibility|barker2022fair4rs
relation__digital_twin__entity_specificity,evidence_to_claim_relation,digital_twin,entity_specificity,"For 'digital_twin', the block 'entity_specificity' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass",A twin must be calibrated and evaluated for an identified entity rather than only a species-level archetype.,"Entity identity, calibration data, update policy, and validation records.","Population or canonical models remain digital models, not entity-specific twins.",Generic mouse models described as individual twins.,xiong2023dtb|riedmaier2021vvuq
relation__digital_twin__operational_compute,evidence_to_claim_relation,digital_twin,operational_compute,"For 'digital_twin', the block 'operational_compute' has role: necessary_under_this_profile_not_scientifically_sufficient.","all predictive, mechanistic, causal, coverage, entity-specific, independent-validation, reproducibility, and operational-compute blocks pass","Compute adequacy must be evaluated against the declared context-of-use latency, resource, and update budget.","Hardware, runtime, memory, energy, and update frequency.",Offline exploratory simulation may have a different budget from operational use.,Reproducible execution treated as operational adequacy.,asme2018vv40|riedmaier2021vvuq
rule__failed_block_veto,non_compensatory_inference_rule,all_profile_claims,failed,"If any required blocks have status 'failed', conclude 'blocked'.",Non-compensatory decision semantics,at least one required evidence block failed,All claims containing at least one required evidence block,Reviewers must identify any claim-specific exception,Compensation by unrelated passed evidence,profile_rule
rule__external_review_escalation,non_compensatory_inference_rule,all_profile_claims,requires_review,"If any required blocks have status 'requires_review', conclude 'needs_external_review'.",Non-compensatory decision semantics,at least one required block cannot be decided automatically,All claims containing at least one required evidence block,Reviewers must identify any claim-specific exception,Compensation by unrelated passed evidence,profile_rule
rule__missing_evidence_uncertainty,non_compensatory_inference_rule,all_profile_claims,unknown,"If any required blocks have status 'unknown', conclude 'uncertain'.",Non-compensatory decision semantics,at least one required evidence block was not observed,All claims containing at least one required evidence block,Reviewers must identify any claim-specific exception,Compensation by unrelated passed evidence,profile_rule
rule__protocol_scope_boundary,non_compensatory_inference_rule,all_profile_claims,not_applicable,"If any required blocks have status 'not_applicable', conclude 'out_of_scope'.",Non-compensatory decision semantics,the evaluated protocol did not target at least one required block,All claims containing at least one required evidence block,Reviewers must identify any claim-specific exception,Compensation by unrelated passed evidence,profile_rule
rule__all_requirements_satisfied,non_compensatory_inference_rule,all_profile_claims,passed,"If all required blocks have status 'passed', conclude 'supported'.",Non-compensatory decision semantics,all required evidence blocks passed their declared domain-specific rules,All claims containing at least one required evidence block,Reviewers must identify any claim-specific exception,Compensation by unrelated passed evidence,profile_rule
coverage__claim_set,profile_comprehensiveness,profile,claim_set,The declared claim set covers the relevant claim classes for the stated context.,Profile-level comprehensiveness,Missing claim classes can make a mapping appear valid while incomplete.,computational_mouse_brain,The profile is not a universal scientific ontology.,Inferring comprehensiveness from relation-level agreement alone.,COSMIN_CONTENT_VALIDITY
coverage__evidence_block_set,profile_comprehensiveness,profile,evidence_block_set,The evidence-block set is sufficient for the profile's declared context of use.,Profile-level comprehensiveness,A claim mapping can omit a necessary evidence class.,computational_mouse_brain,Domain-specific protocols may add stricter blocks.,Treating the current block list as exhaustive without review.,COSMIN_CONTENT_VALIDITY
